Name: STRATO3, HW Version: 1.1, SW Version: 2.0, SN: 1001005000548
#;Up-Time;UTC;Date;RMC Valid;Sats in use;Latitude;Longitude;Speed over Ground [knots];Speed over Ground [km/h];Course over Ground;Altitude NN [m];Board: Temp [C];Extern: Temp [C];Extern: Hum [perc];Extern: Press [hPa];Batt Voltage [V];Logger Status
$;00:00:01;00:00:01;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;22.875;26.750;48.531;993.950;9.2;66703
$;00:00:03;00:00:03;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;22.750;26.625;48.149;993.940;9.2;66719
$;00:00:05;05:57:39;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;22.750;26.500;48.462;994.99;9.2;66577
$;00:00:07;05:57:41;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;22.750;26.750;48.737;994.10;9.2;66719
$;00:00:09;05:57:43;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;23.0;26.500;48.813;994.10;9.2;66719
$;00:00:11;05:57:45;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;22.750;26.625;48.729;993.919;9.2;66577
$;00:00:13;05:57:47;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;22.750;26.625;48.729;993.989;9.2;66719
$;00:00:15;05:57:49;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;22.750;26.750;48.767;993.929;9.2;66719
$;00:00:17;05:57:51;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;23.125;26.625;48.737;994.109;9.2;66577
$;00:00:19;05:57:53;00.00.00;N;NA;NA;NA;NA;NA;NA;NA;23.0;26.500;48.805;993.880;9.2;66751
$;00:00:21;05:57:55;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;22.875;26.750;48.935;993.960;9.2;66751
$;00:00:23;05:57:57;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;22.875;26.625;48.943;994.10;9.1;66609
$;00:00:25;05:57:59;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.125;26.750;48.950;993.960;9.2;66751
$;00:00:27;05:58:01;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.125;26.625;48.828;994.150;9.1;66751
$;00:00:29;05:58:03;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.125;26.500;48.676;994.10;9.1;66609
$;00:00:31;05:58:05;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.125;26.500;48.637;993.960;9.1;66751
$;00:00:33;05:58:07;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.125;26.625;48.706;994.30;9.1;66751
$;00:00:35;05:58:09;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.125;26.625;48.882;994.130;9.1;66609
$;00:00:37;05:58:11;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.125;26.500;48.790;994.99;9.1;66751
$;00:00:39;05:58:13;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.250;26.625;48.584;994.169;9.1;66751
$;00:00:41;05:58:15;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.250;26.625;48.508;994.10;9.1;66609
$;00:00:43;05:58:17;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.250;26.500;48.859;994.109;9.1;66751
$;00:00:45;05:58:19;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.625;26.500;48.943;994.20;9.1;66751
$;00:00:47;05:58:21;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.500;26.500;49.271;994.90;9.1;66609
$;00:00:49;05:58:23;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.375;26.375;49.156;993.849;9.1;66751
$;00:00:51;05:58:25;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.375;26.375;48.737;994.109;9.1;66609
$;00:00:53;05:58:27;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.750;26.500;49.294;993.919;9.1;66609
$;00:00:55;05:58:29;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.625;26.500;48.721;993.909;9.1;66609
$;00:00:57;05:58:31;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.625;26.375;48.653;994.109;9.1;66609
$;00:00:59;05:58:33;20.07.2019;N;NA;NA;NA;NA;NA;NA;NA;23.625;26.500;48.546;994.49;9.1;66609
$;00:01:01;05:58:35;20.07.2019;Y;04;43 39.18358 N;005 35.10258 E;0.362;0.6;;209.5;23.500;26.375;48.584;994.0;9.1;66673
$;00:01:03;05:58:37;20.07.2019;Y;04;43 39.18307 N;005 35.10714 E;0.325;0.6;;217.4;23.500;26.375;48.416;994.10;9.1;66673
$;00:01:05;05:58:39;20.07.2019;Y;04;43 39.18370 N;005 35.10731 E;0.258;0.4;;216.7;23.500;26.250;48.378;993.969;9.1;66673
$;00:01:07;05:58:41;20.07.2019;Y;04;43 39.18351 N;005 35.10716 E;0.156;0.2;;217.1;23.500;26.250;48.462;994.30;9.1;66673
$;00:01:09;05:58:43;20.07.2019;Y;04;43 39.18336 N;005 35.10759 E;1.579;2.9;;218.5;23.750;26.250;48.653;993.919;9.0;66673
$;00:01:11;05:58:45;20.07.2019;Y;04;43 39.18370 N;005 35.10655 E;0.369;0.6;;218.1;23.500;26.125;49.797;993.989;9.1;66673
$;00:01:13;05:58:47;20.07.2019;Y;04;43 39.18351 N;005 35.10734 E;1.397;2.5;;220.7;23.875;26.250;49.286;994.39;9.0;66673
$;00:01:15;05:58:49;20.07.2019;Y;04;43 39.18310 N;005 35.10784 E;1.073;1.9;;223.7;23.750;26.250;49.202;994.20;9.0;66673
$;00:01:17;05:58:51;20.07.2019;Y;04;43 39.18294 N;005 35.10835 E;0.778;1.4;;224.7;23.875;26.250;49.286;994.119;9.0;66673
$;00:01:19;05:58:53;20.07.2019;Y;05;43 39.18375 N;005 35.10643 E;0.097;0.1;;218.4;23.875;26.375;49.316;994.70;9.0;66673
$;00:01:21;05:58:55;20.07.2019;Y;05;43 39.18395 N;005 35.10484 E;0.389;0.7;;214.4;23.750;26.250;49.263;994.20;9.0;66673
$;00:01:23;05:58:57;20.07.2019;Y;05;43 39.18379 N;005 35.10469 E;0.241;0.4;;215.7;23.875;26.375;49.194;994.80;9.0;66673
$;00:01:25;05:58:59;20.07.2019;Y;05;43 39.18357 N;005 35.10472 E;0.352;0.6;;217.5;23.875;26.125;49.118;993.900;9.1;66673
$;00:01:27;05:59:01;20.07.2019;Y;05;43 39.18359 N;005 35.10471 E;0.399;0.7;;217.5;23.750;26.375;49.263;994.20;9.1;66673
$;00:01:29;05:59:03;20.07.2019;Y;05;43 39.18368 N;005 35.10470 E;0.385;0.7;;218.0;23.750;26.125;49.324;994.109;9.1;66673
$;00:01:31;05:59:05;20.07.2019;Y;07;43 39.18473 N;005 35.10556 E;0.038;0.0;;217.1;23.875;26.375;49.164;993.880;9.1;66673
$;00:01:33;05:59:07;20.07.2019;Y;07;43 39.18484 N;005 35.10578 E;0.061;0.1;;217.6;24.125;26.250;49.80;994.70;9.0;66673
$;00:01:35;05:59:09;20.07.2019;Y;07;43 39.18507 N;005 35.10560 E;0.069;0.1;;216.9;24.0;26.250;49.34;993.840;9.0;66673
$;00:01:37;05:59:11;20.07.2019;Y;07;43 39.18520 N;005 35.10562 E;0.100;0.1;;217.1;24.125;26.375;49.11;993.929;9.0;66673
$;00:01:39;05:59:13;20.07.2019;Y;07;43 39.18523 N;005 35.10560 E;0.117;0.2;;217.3;24.125;26.250;49.65;994.239;9.0;66673
$;00:01:41;05:59:15;20.07.2019;Y;05;43 39.18576 N;005 35.10648 E;4.529;8.3;;217.3;24.125;26.250;49.110;994.90;9.0;66673
$;00:01:43;05:59:17;20.07.2019;Y;07;43 39.18548 N;005 35.10688 E;0.155;0.2;;216.0;24.125;26.250;49.80;994.109;9.0;66673
$;00:01:45;05:59:19;20.07.2019;Y;07;43 39.18487 N;005 35.10682 E;0.049;0.0;;215.1;24.125;26.375;49.4;994.130;9.0;66673
